Position(mm),Force(kgf),Velocity(mm/s),Time(s)
46.471,0,99.989,0.4
46.471,0,99.989,0.4
46.571,0,99.989,0.4
46.571,0,99.989,0.4
46.671,0,99.983,0.4
46.671,0,99.983,0.4
46.771,0,99.978,0.41
46.771,0,99.978,0.41
46.871,0,99.972,0.41
46.871,0,99.972,0.41
46.971,0,99.967,0.41
46.971,0,99.967,0.41
47.071,0,99.961,0.41
47.071,0,99.961,0.41
47.171,0,99.956,0.41
47.171,0,99.956,0.41
47.271,0,99.956,0.41
47.271,0,99.956,0.41
47.371,0,99.956,0.41
47.371,0,99.956,0.41
47.471,0,99.961,0.41
47.471,0,99.961,0.41
47.571,0,99.967,0.41
47.571,0,99.967,0.41
47.571,0,99.967,0.41
47.571,0,99.967,0.41
47.671,0,99.972,0.41
47.671,0,99.972,0.41
47.771,0,99.978,0.42
47.771,0,99.978,0.42
47.871,0,99.978,0.42
47.871,0,99.978,0.42
47.971,0,99.972,0.42
47.971,0,99.972,0.42
48.07,0,99.972,0.42
48.07,0,99.972,0.42
48.17,0,99.972,0.42
48.17,0,99.972,0.42
48.27,0,99.972,0.42
48.27,0,99.972,0.42
48.37,0,99.972,0.42
48.37,0,99.972,0.42
48.47,0,99.978,0.42
48.47,0,99.978,0.42
48.57,0,99.983,0.42
48.57,0,99.983,0.42
48.67,0,99.983,0.42
48.67,0,99.983,0.42
48.77,0,99.983,0.43
48.77,0,99.983,0.43
48.87,0,99.983,0.43
48.87,0,99.983,0.43
48.97,0,99.989,0.43
48.97,0,99.989,0.43
49.07,0,99.989,0.43
49.07,0,99.989,0.43
49.17,0,99.989,0.43
49.17,0,99.989,0.43
49.271,0,99.994,0.43
49.271,0,99.994,0.43
49.371,0,99.994,0.43
49.371,0,99.994,0.43
49.471,0,100,0.43
49.471,0,100,0.43
49.571,0,100.006,0.43
49.571,0,100.006,0.43
49.671,0,100.006,0.43
49.671,0,100.006,0.43
49.771,0,100.006,0.44
49.771,0,100.006,0.44
49.771,0,100.006,0.44
49.771,0,100.006,0.44
49.871,0,100.006,0.44
49.871,0,100.006,0.44
49.971,0,100.011,0.44
49.971,0,100.011,0.44
50.071,0,100.011,0.44
50.071,0,100.011,0.44
50.171,0,100.011,0.44
50.171,0,100.011,0.44
50.271,0,100.017,0.44
50.271,0,100.017,0.44
50.371,0,100.022,0.44
50.371,0,100.022,0.44
50.471,0,100.022,0.44
50.471,0,100.022,0.44
50.571,0,100.028,0.44
50.571,0,100.028,0.44
50.671,0,100.028,0.44
50.671,0,100.028,0.44
50.771,0,100.028,0.45
50.771,0,100.028,0.45
50.871,0,100.028,0.45
50.871,0,100.028,0.45
50.971,0,100.028,0.45
50.971,0,100.028,0.45
51.071,0,100.022,0.45
51.071,0,100.022,0.45
51.171,0,100.017,0.45
51.171,0,100.017,0.45
51.271,0,100.011,0.45
51.271,0,100.011,0.45
51.371,0,100.011,0.45
51.371,0,100.011,0.45
51.471,0,100.006,0.45
51.471,0,100.006,0.45
51.571,0,100.006,0.45
51.571,0,100.006,0.45
51.671,0,100.006,0.45
51.671,0,100.006,0.45
51.771,0,100.006,0.46
51.771,0,100.006,0.46
51.871,0,100.006,0.46
51.871,0,100.006,0.46
51.971,0,100.006,0.46
51.971,0,100.006,0.46
52.071,0,100.006,0.46
52.071,0,100.006,0.46
52.171,0,100.006,0.46
52.171,0,100.006,0.46
52.271,0,100.006,0.46
52.271,0,100.006,0.46
52.371,0,100.006,0.46
52.371,0,100.006,0.46
52.471,0,100.006,0.46
52.471,0,100.006,0.46
52.571,0,100.006,0.46
52.571,0,100.006,0.46
52.671,0,100,0.46
52.671,0,100,0.46
52.671,0,100,0.47
52.671,0,100,0.47
52.771,0,100,0.47
52.771,0,100,0.47
52.871,0,100,0.47
52.871,0,100,0.47
52.971,0,100,0.47
52.971,0,100,0.47
53.071,0,100,0.47
53.071,0,100,0.47
53.171,0,100,0.47
53.171,0,100,0.47
53.271,0,99.994,0.47
53.271,0,99.994,0.47
53.371,0,99.989,0.47
53.371,0,99.989,0.47
53.471,0,99.983,0.47
53.471,0,99.983,0.47
53.571,0,99.983,0.47
53.571,0,99.983,0.47
53.671,0,99.978,0.47
53.671,0,99.978,0.47
53.771,0,99.972,0.48
53.771,0,99.972,0.48
53.871,0,99.972,0.48
53.871,0,99.972,0.48
53.97,0,99.972,0.48
53.97,0,99.972,0.48
54.07,0,99.972,0.48
54.07,0,99.972,0.48
54.17,0,99.978,0.48
54.17,0,99.978,0.48
54.271,0,99.983,0.48
54.271,0,99.983,0.48
54.371,0,99.989,0.48
54.371,0,99.989,0.48
54.371,0,99.989,0.48
54.371,0,99.989,0.48
54.471,0,99.989,0.48
54.471,0,99.989,0.48
54.571,0,99.989,0.48
54.571,0,99.989,0.48
54.671,0,99.989,0.48
54.671,0,99.989,0.48
54.771,0,99.989,0.49
54.771,0,99.989,0.49
54.871,0,99.994,0.49
54.871,0,99.994,0.49
54.971,0,99.994,0.49
54.971,0,99.994,0.49
55.071,0,100,0.49
55.071,0,100,0.49
55.171,0,100,0.49
55.171,0,100,0.49
55.271,0,100.006,0.49
55.271,0,100.006,0.49
55.371,0,100.011,0.49
55.371,0,100.011,0.49
55.471,0,100.017,0.49
55.471,0,100.017,0.49
55.571,0,100.017,0.49
55.571,0,100.017,0.49
55.671,0,100.022,0.49
55.671,0,100.022,0.49
55.671,0,100.022,0.5
55.671,0,100.022,0.5
55.771,0,100.022,0.5
55.771,0,100.022,0.5
55.871,0,100.022,0.5
55.871,0,100.022,0.5
55.971,0,100.022,0.5
55.971,0,100.022,0.5
56.071,0,100.022,0.5
56.071,0,100.022,0.5
56.171,0,100.017,0.5
56.171,0,100.017,0.5
56.271,0,100.017,0.5
56.271,0,100.017,0.5
56.371,0,100.011,0.5
56.371,0,100.011,0.5
56.471,0,100.011,0.5
56.471,0,100.011,0.5
56.571,0,100.011,0.5
56.571,0,100.011,0.5
56.671,0,100.011,0.5
56.671,0,100.011,0.5
56.771,0,100.011,0.51
56.771,0,100.011,0.51
56.871,0,100.011,0.51
56.871,0,100.011,0.51
56.971,0,100.011,0.51
56.971,0,100.011,0.51
56.971,0,100.011,0.51
56.971,0,100.011,0.51
57.071,0,100.011,0.51
57.071,0,100.011,0.51
57.171,0,100.011,0.51
57.171,0,100.011,0.51
57.271,0,100.011,0.51
57.271,0,100.011,0.51
57.371,0,100.006,0.51
57.371,0,100.006,0.51
57.471,0,100.006,0.51
57.471,0,100.006,0.51
57.571,0,100,0.51
57.571,0,100,0.51
57.671,0,100,0.51
57.671,0,100,0.51
57.771,0,99.994,0.52
57.771,0,99.994,0.52
57.871,0,99.989,0.52
57.871,0,99.989,0.52
57.971,0,99.983,0.52
57.971,0,99.983,0.52
58.071,0,99.983,0.52
58.071,0,99.983,0.52
58.171,0,99.983,0.52
58.171,0,99.983,0.52
58.271,0,99.983,0.52
58.271,0,99.983,0.52
58.371,0,99.989,0.52
58.371,0,99.989,0.52
58.471,0,99.989,0.52
58.471,0,99.989,0.52
58.471,0,99.989,0.52
58.471,0,99.989,0.52
58.571,0,99.994,0.52
58.571,0,99.994,0.52
58.671,0,100,0.52
58.671,0,100,0.52
58.771,0,100.006,0.53
58.771,0,100.006,0.53
58.871,0,100.011,0.53
58.871,0,100.011,0.53
58.971,0,100.011,0.53
58.971,0,100.011,0.53
59.071,0,100.017,0.53
59.071,0,100.017,0.53
59.171,0,100.028,0.53
59.171,0,100.028,0.53
59.271,0,100.033,0.53
59.271,0,100.033,0.53
59.371,0,100.039,0.53
59.371,0,100.039,0.53
59.471,0,100.039,0.53
59.471,0,100.039,0.53
59.571,0,100.039,0.53
59.571,0,100.039,0.53
59.672,0,100.039,0.53
59.672,0,100.039,0.53
59.772,0,100.033,0.54
59.772,0,100.033,0.54
59.872,0,100.033,0.54
59.872,0,100.033,0.54
59.972,0,100.033,0.54
59.972,0,100.033,0.54
60.072,0,100.028,0.54
60.072,0,100.028,0.54
60.171,0,100.022,0.54
60.171,0,100.022,0.54
60.271,0,100.017,0.54
60.271,0,100.017,0.54
60.371,0,100.017,0.54
60.371,0,100.017,0.54
60.471,0,100.011,0.54
60.471,0,100.011,0.54
60.571,0,100.006,0.54
60.571,0,100.006,0.54
60.671,0,100.006,0.54
60.671,0,100.006,0.54
60.771,0,100,0.55
60.771,0,100,0.55
60.871,0,99.994,0.55
60.871,0,99.994,0.55
60.971,0,99.994,0.55
60.971,0,99.994,0.55
61.071,0,99.989,0.55
61.071,0,99.989,0.55
61.171,0,99.983,0.55
61.171,0,99.983,0.55
61.271,0,99.978,0.55
61.271,0,99.978,0.55
61.371,0,99.978,0.55
61.371,0,99.978,0.55
61.471,0,99.972,0.55
61.471,0,99.972,0.55
61.571,0,99.972,0.55
61.571,0,99.972,0.55
61.671,0,99.978,0.55
61.671,0,99.978,0.55
61.771,0,99.983,0.56
61.771,0,99.983,0.56
61.871,0,99.983,0.56
61.871,0,99.983,0.56
61.971,0,99.983,0.56
61.971,0,99.983,0.56
62.071,0,99.983,0.56
62.071,0,99.983,0.56
62.171,0,99.978,0.56
62.171,0,99.978,0.56
